Período	Campo	Poço ANP	Petróleo Equivalente (boe/d)	Óleo (m3/d)	Gás Natural (mil m3/d)	Água (m3/d)	Dias	Potencial	ef	Potencial (m³/d)
2009-02-01	RONCADOR	7-RO-46HP-RJS	19768,52	2882,84	260,1	2,88	-5,8	2800,0	1,0	
2009-03-01	RONCADOR	7-RO-46HP-RJS	19283,17	2820,46	245,32	2,82	-5,723287671232876	2800,0	1,0	
2009-04-01	RONCADOR	7-RO-46HP-RJS	19129,89	2804,91	236,5	2,8	-5,638356164383562	2800,0	1,0	
2009-05-01	RONCADOR	7-RO-46HP-RJS	18759,25	2799,78	182,71	2,8	-5,556164383561644	2800,0	0,9999214285714286	
2009-06-01	RONCADOR	7-RO-46HP-RJS	18617,98	2741,2	218,83	2,74	-5,471232876712328	2800,0	0,979	
2009-07-01	RONCADOR	7-RO-46HP-RJS	19317,26	2842,5	228,7	2,84	-5,389041095890411	2800,0	1,0	
2009-08-01	RONCADOR	7-RO-46HP-RJS	19506,08	2882,91	218,31	2,88	-5,304109589041095	2800,0	1,0	
2009-09-01	RONCADOR	7-RO-46HP-RJS	19399,4	2896,57	187,68	2,89	-5,219178082191781	2800,0	1,0	
2009-10-01	RONCADOR	7-RO-46HP-RJS	19736,21	2880,33	257,48	2,88	-5,136986301369863	2800,0	1,0	
2009-11-01	RONCADOR	7-RO-46HP-RJS	20358,81	2890,38	346,42	2,89	-5,052054794520548	2800,0	1,0	
2009-12-01	RONCADOR	7-RO-46HP-RJS	21255,35	2941,36	437,97	35,65	-4,96986301369863	2800,0	1,0	
2010-01-01	RONCADOR	7-RO-46HP-RJS	21302,37	2884,78	502,02	112,09	-4,884931506849314	2800,0	1,0	
2010-02-01	RONCADOR	7-RO-46HP-RJS	20979,47	2819,87	515,6	117,49	-4,8	2800,0	1,0	
2010-03-01	RONCADOR	7-RO-46HP-RJS	20739,3	2795,35	501,93	114,08	-4,723287671232876	2800,0	0,9983392857142857	
2010-04-01	RONCADOR	7-RO-46HP-RJS	20482,0	2736,25	520,13	114,0	-4,638356164383562	2800,0	0,9772321428571429	
2010-05-01	RONCADOR	7-RO-46HP-RJS	20447,87	2713,62	537,33	118,4	-4,556164383561644	2800,0	0,96915	
2010-06-01	RONCADOR	7-RO-46HP-RJS	20324,07	2719,44	511,82	157,15	-4,471232876712328	2800,0	0,9712285714285714	
2010-07-01	RONCADOR	7-RO-46HP-RJS	20055,02	2664,12	524,37	176,44	-4,389041095890411	2800,0	0,9514714285714285	
2010-08-01	RONCADOR	7-RO-46HP-RJS	18864,75	2496,04	503,21	228,84	-4,304109589041095	2500,0	0,998416	
2010-09-01	RONCADOR	7-RO-46HP-RJS	18726,99	2469,65	507,7	285,2	-4,219178082191781	2500,0	0,9878600000000001	
2010-10-01	RONCADOR	7-RO-46HP-RJS	18849,5	2489,11	507,72	325,31	-4,136986301369863	2500,0	0,9956440000000001	
2010-11-01	RONCADOR	7-RO-46HP-RJS	18692,85	2480,32	491,6	339,24	-4,052054794520548	2500,0	0,9921280000000001	
2010-12-01	RONCADOR	7-RO-46HP-RJS	18991,12	2518,7	500,64	289,49	-3,96986301369863	2500,0	1,0	
2011-01-01	RONCADOR	7-RO-46HP-RJS	19041,16	2515,01	512,3	334,79	-3,884931506849315	2500,0	1,0	
2011-02-01	RONCADOR	7-RO-46HP-RJS	18603,32	2453,88	503,81	399,47	-3,8	2500,0	0,9815520000000001	
2011-03-01	RONCADOR	7-RO-46HP-RJS	18063,49	2429,64	442,22	395,52	-3,7232876712328764	2500,0	0,9718559999999999	
2011-04-01	RONCADOR	7-RO-46HP-RJS	17334,78	2363,45	392,56	384,75	-3,6383561643835614	2500,0	0,9453799999999999	
2011-05-01	RONCADOR	7-RO-46HP-RJS	17892,48	2470,84	373,84	347,87	-3,5561643835616437	2500,0	0,9883360000000001	
2011-06-01	RONCADOR	7-RO-46HP-RJS	17337,92	2423,02	333,49	364,56	-3,4712328767123286	2500,0	0,969208	
